"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",8.15,15.95,23.79,20.68
"Feb",9.18,17.41,25.69,15.67
"Mar",10.99,19.51,28.08,14.87
"Apr",13.57,22.13,30.73,17.43
"May",16,24.32,32.68,43.72
"Jun",18.42,25.8,33.23,105.35
"Jul",18.85,25.51,32.23,127.75
"Aug",18.79,25.44,32.14,133.53
"Sep",17.73,24.21,30.75,145.34
"Oct",14.7,21.85,29.06,84.24
"Nov",10.73,18.41,26.14,32.59
"Dec",8.45,16.09,23.77,21.93